,Plant,Name 1,Valuation Area,Customer no. - plant,Vendor number plant,Factory calendar,Name 2,House number and street,PO Box,Postal Code,City,Sales organization,State
89,X111,X111 - RUDRA MOTORS,X111,PLX111,,IN,Amritsar,"Opposite, Ryan international S",143001.0,143001,Amritsar,,Punjab
90,X112,X112 - PATNA WHEELS POINT,X112,PLX112,,IN,Patna,"Ashiyana Digha Road,",800025.0,800025,Patna,MFCC,Bihar
91,X113,X113 - S G AUTOMOTIVES,X113,PLX113,,IN,Mangalore,"Site No - 9/10,",575019.0,575019,Mangalore,MFCC,Karnataka
92,X114,X114 - A J MOTORWORKS,X114,PLX114,,IN,Bhopal,"4/1 Chuna Bhatti, Kolar Road",462016.0,462016,Bhopal,MFCD,Madhya Pradesh
93,X115,X115 - LOHIA CAR CARE,X115,PLX115,,IN,Ujjain,"Adjoining Shree Vardhan Hotel,",456006.0,456006,Ujjain,MFCD,Madhya Pradesh
94,X118,X118 - SURBHI GLOBAL PVT. LTD,X118,PLX118,,IN,Gwalior,"Portion of Survey no 860,",474002.0,474002,Gwalior,MFCD,Madhya Pradesh
95,X119,X119 - VIVEK SERVICES,X119,PLX119,,IN,Buxar,"Jaso Road,",802101.0,802101,Buxar,MFCD,Bihar
96,X121,X121 - MANICK ENTERPRISES,X121,PLX121,,IN,Belgaum,"N15, Industrial Estate,",590008.0,590008,Belgaum,MFCC,Karnataka
97,X122,X122 - S & B AUTOMOBILE,X122,PLX122,,IN,Barh,"Plot No - 174&159, Khata No- 1",803213.0,803213,Bahr,MFCD,Bihar
98,X123,X123 - WHEELOCITY CAR SERVICES,X123,PLX123,,IN,Bhagalpur,"Khasara no 29, At Post Khiriba",812005.0,812005,Bhagalpur,MFCD,Bihar
99,X124,X124 - ZEF MOTORS,X124,PLX124,,IN,Kochi,"Near Vallathol Junction,",682021.0,682021,Kochi,MFCC,Kerala
100,X125,X125 - SHRI WARDHMAN MOTO CORP,X125,PLX125,,IN,Bhopal,"18/1, Sector G, JK Main Road,",462023.0,462023,Bhopal,MFCD,Madhya Pradesh
101,X126,X126 - M.P AUTO VEHICLES PVT.,X126,PLX126,,IN,Varanasi,"B38/2A 3 & 4, Gopal Vihar Colo",221010.0,221010,Varanasi,MFCD,Uttar Pradesh
102,X127,X127 - MY SUPREME,X127,PLX127,,IN,Neemuch,"Near Naka No. 7, Mhow Road.",458441.0,458441,Neemuch,MFCD,Madhya Pradesh
103,X128,X128 - SRI LAKSHMI AUTOMOBILES,X128,PLX128,,IN,Thiruvarur,"TS No: 408/13, Nagai Bye Pass",610001.0,610001,Thiruvarur,MFCD,Tamil Nadu
104,X129,X129 - A.V. AUTOMOBILES,X129,PLX129,,IN,Pinjore,"Pinjore Baddi Highway,",134102.0,134102,Pinjore,MFCD,Haryana
105,X131,X131 - LEELA AUTOMOBILE,X131,PLX131,,IN,Bahraich,"Akbarpura Nai Basti ,Kisan P.G",271801.0,271801,Bahraich,MFCD,Uttar Pradesh
106,X132,X132 - KATIYAR MANGALAM AUTOMO,X132,PLX132,,IN,Farrukhbad,"Khasra 523,Gram Satanpur",209625.0,209625,Farrukhbad,MFCD,Uttar Pradesh
107,X133,X133 - SRI BALAJI MOTORS,X133,PLX133,,IN,Avadi,"S No 694, Avadi Poonamallee Hi",600071.0,600071,Avadi,MFCD,Tamil Nadu
108,X135,X135 - S P JIRAPURE MOTORS,X135,PLX135,,IN,Yavatmal,"Plot No. 18-21,25-26, Jam road",445001.0,445001,Yavatmal,MFCD,Maharashtra
109,X136,X136 - SUNRISE AUTO CARE,X136,PLX136,,IN,Jaipur,"A-243, Road No. 6,",302013.0,302013,Jaipur,MFCD,Rajasthan
110,X138,X138 - HIM AUTOS,X138,PLX138,,IN,Kullu,"Village- mahili, District & Te",175129.0,175129,Kullu,MFCD,Himachal Pradesh
111,X139,X139 - INDRADHANUSH AUTOMOBILE,X139,PLX139,,IN,Bikramganj,"SH15, Bikramganj Dehri Road, B",802212.0,802212,Bikramganj,MFCD,Bihar
112,X140,X140 - SRI RAJARAJESHWARI SERV,X140,PLX140,,IN,Hubballi,"Plot No - 157/1a, Opp State Ex",580025.0,580025,Hubballi,MFCC,Karnataka
113,X146,X146 - RUGRUT MOTORS,X146,PLX146,,IN,Pune,"Sr No 34/1A, Pune-Solapur Road",412307.0,412307,Pune,MFCD,Maharashtra
114,X147,X147 - SPECTRUM AUTOMOTIVES,X147,PLX147,,IN,X147 - SPECTRUM AUTOMOTIVES,"#174/1, Sanklapur,",583201.0,583201,Hospet,MFCD,Karnataka
115,X149,X149 - SARVADNYA AUTO CARE LAT,X149,PLX149,,IN,Latur,"No-1 Chawk ,Near Dic Office,",413531.0,413531,Latur,MFCD,Maharashtra
116,X150,X150 - S K CAR CARE,X150,PLX150,,IN,Karaikal,"685/1, Barathiyar road,",609609.0,609609,Karaikal,MFCD,Puducherry
117,X154,X154 - G.K.CAR ZONE,X154,PLX154,,IN,Thiruvallur,"No 6, C.V Naidu Salai,",602001.0,602001,Thiruvallur,MFCD,Tamil Nadu
118,X155,X155 - AVEER AUTO SPARES AND S,X155,PLX155,,IN,Chhatarpur,"Plot no 261, Behind Jawahar Pe",471001.0,471001,Chhatarpur,MFCD,Madhya Pradesh
119,X156,X156 - MANGLAM AUTOMOBILES,X156,PLX156,,IN,Ratlam,"1098/4- 1098/19,",457001.0,457001,Ratlam,MFCD,Madhya Pradesh
120,X157,X157 - PYDI AUTOMOTIVE LLP,X157,PLX157,,IN,Sirkakulam,"Sy.No. 77-11, NH-16, Kusalapur",532410.0,532410,Sirkakulam,MFCD,Andhra Pradesh
121,X159,X159 - BHANDARI SERVICE CENTRE,X159,PLX159,,IN,Khargone,"Khasra No 10, Halka No 42, Nav",451001.0,451001,Khargone,MFCD,Madhya Pradesh
122,X160,X160 - AMRIT SERVICE STATION,X160,PLX160,,IN,Khandwa,"143/8, Indore Road,",450001.0,450001,Khandwa,MFCD,Madhya Pradesh
123,X161,X161 - ADVANCE AUTO SERVICES,X161,PLX161,,IN,Chandigarh,"Plot Number-81,",160002.0,160002,Chandigarh,MFCC,Chandigarh
124,X164,X164 - EQRA AUTO,X164,PLX164,,IN,Udaipur,"Plot No 10 , Opposite A- one G",313001.0,313001,Udaipur,MFCD,Rajasthan
125,X166,X166 - ANAND AUTOMOTIVE,X166,PLX166,,IN,Gwalior,"Plot no. 16, Industrial Area,",474001.0,474001,Gwalior,MFCD,Madhya Pradesh
126,X167,X167 - MANAK MOTORS P LTD,X167,PLX167,,IN,Jodhpur,"Parshwanath Colony,",342001.0,342001,Jodhpur,,Rajasthan
127,X169,X169 - DREAMWORKS AUTOMOTIVE,X169,PLX169,,IN,Kishangarh,"C\o Rupalo  Rawalo, Main Highw",305801.0,305801,Kishangarh,MFCD,Rajasthan
128,X170,X170 - S K  AUTOMOBILES,X170,PLX170,,IN,Jhunjhunu,"Plot no - G60B, Riico Industri",333001.0,333001,Jhunjhunu,MFCD,Rajasthan
129,X171,X171 - SRI OM MOTORS,X171,PLX171,,IN,Rajashtan,Near Pugal road railway crossi,334001.0,334001,Bikaner,MFCD,Rajasthan
130,X172,X172 - MARRCO MACHINERIES,X172,PLX172,,IN,Kota,"G-560a, Industrial Area Under",324005.0,324005,Kota,MFCD,Rajasthan
131,X173,X173 - TRIMURTI AUTOMOBILES,X173,PLX173,,IN,Pune,"Gut no 133,",412205.0,412205,Pune,MFCD,Maharashtra
132,X174,X174 - ANKITHA MOTORS,X174,PLX174,,IN,Hyderabad,"1-115/99, Sy No 99,",500049.0,500049,Hyderabad,MFCB,Telangana
133,X175,X175 - SPYNS AUTO,X175,PLX175,,IN,Hyderabad,"Sy No :- 66/4, Opp Big Baazar,",500074.0,500074,Hyderabad,MFCD,Telangana
134,X177,X177 - MAHAMAYA MOTORS,X177,PLX177,,IN,Shahpura,"NH -8, Near Essar Petrol Pump,",311404.0,311404,Shahpura,MFCD,Rajasthan
135,X179,X179 - CHAUDHARY CAR SERVICE C,X179,PLX179,,IN,Khair,"Khet No 11 Gomat Chauraha,",202135.0,202135,Khair,MFCD,Uttar Pradesh
136,X180,X180 - RAMSUN ADVANTAGE,X180,PLX180,,IN,Pudukottai,"6781/1, 6781/2, New Street,",622001.0,622001,Pudukottai,MFCD,Tamil Nadu
137,X183,X183 - MANALI AUTO WORLD,X183,PLX183,,IN,Sangamner,Opp Amrutvaini Engineering Col,422608.0,422608,Sangamner,MFCD,Maharashtra
138,X185,X185 - GUPTA CAR CARE,X185,PLX185,,IN,Rajsamand,"Plot no 1682, Gupta Car Care,",313324.0,313324,Rajsamand,MFCC,Rajasthan
139,X186,X186 - AISHWARYA MOTORS,X186,PLX186,,IN,Kalaburagi,"Survey No. 99,",585102.0,585102,Kalaburagi,MFCD,Karnataka
140,X187,X187 - MOTIWALA SERVICES,X187,PLX187,,IN,Aurangabad,"CTS no 14536/3, Shit no 118,",431001.0,431001,Aurangabad,MFCD,Maharashtra
141,X188,X188 - SONA AUTOMOBILES,X188,PLX188,,IN,Rosera,"Old Bus Stand, Ward No.-09, P.",848210.0,848210,Rosera,MFCD,Bihar
142,X190,X190 - NITHIYA MOTORS,X190,PLX190,,IN,Bengaluru,"Sy No: 39/1b, 39/2,",562107.0,562107,Bengaluru,MFCD,Karnataka
143,X191,X191 - BABA MOTORS,X191,PLX191,,IN,Hingoli,"Gut No - 221/5, Aundha Road,",431513.0,431513,Hingoli,MFCD,Maharashtra
144,X192,X192 - POKATTIL MOTORS,X192,PLX192,,IN,Kottakkal,"1/3B, Athirumada,",676552.0,676552,Kottakkal,MFCD,Kerala
145,X194,X194 -  MNC AUTOMOBILES,X194,PLX194,,IN,Rajahmundry,"Survey no 222/2, Near NH-16 -",533105.0,533105,Rajahmundry,MFCD,Andhra Pradesh
146,X196,X196 -  BHATTAD AUTO SERVICES,X196,PLX196,,IN,Ojhar,"2436/2/1, Panchwad Nagar, N.H.",422207.0,422206,Nashik,MFCD,Maharashtra
147,X198,X198 - S G AUTOMOTIVE,X198,PLX198,,IN,Udupi,"S.No 97/4AP3, Opposite Bharath",585105.0,585105,Udupi,MFCD,Karnataka
148,X199,X199 - RUDRA AUTOCARE,X199,PLX199,,IN,Ambikapur,"Beside Rawat Residency,",497001.0,497001,Ambikapur,MFCD,Chhattisgarh
149,X201,X201 - ADITYA AUTO WORLD,X201,PLX201,,IN,Shamli,"Khasra No-  612 Me, Kairana Ro",247776.0,247776,Shamli,MFCD,Uttar Pradesh
150,X202,X202 - BHARATH MOTORS,X202,PLX202,,IN,Guntur,"#155A, Opp Rayapati Veeraiah C",522034.0,522034,Guntur,MFCD,Andhra Pradesh
151,X203,X203 - B.M.M AUTOMOBILE SERVIC,X203,PLX203,,IN,Proddatur,S.No 542/1 Industrial Developm,516360.0,516360,Proddatur,MFCD,Andhra Pradesh
152,X204,X204 - SREEDEVI AUTOMOTIVE SER,X204,PLX204,,IN,Kakinada,"2-540, 2-541, Ramanayyapeta,",533001.0,533001,Kakinada,MFCD,Andhra Pradesh
153,X205,X205 - ABHINANDAN AUTOMOBILES,X205,PLX205,,IN,Amroha,"Joya Road, Near Amroha",244221.0,244221,Amroha,MFCD,Uttar Pradesh
154,X206,X206 - SHRI SAI SHAKTI SERVICE,X206,PLX206,,IN,Tikamgarh,"Khasra No 592 & 593, Village A",472101.0,472101,Tikamgarh,MFCD,Madhya Pradesh
155,X209,X209 - UMA AUTOMOBILES,X209,PLX209,,IN,Jhansi,"Khasra No. 507, Maoza-Budha,",284002.0,284002,Jhansi,,Uttar Pradesh
156,X210,X210 - JAGESHWARI AUTOMOBILE S,X210,PLX210,,IN,Kausambhi,"Khasra No 381, NH-95, Mile Sto",212216.0,212216,Kausambhi,MFCD,Uttar Pradesh
157,X211,X211 -  M/S KAMAL MOTORS,X211,PLX211,,IN,Hatras,"Khasra No. 108- 109,Gaon Kalwa",204101.0,204101,Hatras,MFCD,Uttar Pradesh
158,X213,X213 - SAINATH AUTOMOBILES,X213,PLX213,,IN,Mancherial,"Sy.No.367, Hitechcity,",504208.0,504208,Mancherial,MFCD,Telangana
159,X214,X214 - M/S J.P. AUTOMOBILES,X214,PLX214,,IN,Shahjahanpur,"Village Bhedpur, NH 24,Opposit",242001.0,242001,Shahjahanpur,MFCD,Uttar Pradesh
160,X215,X215 - VINAY AUTO SERVICES,X215,PLX215,,IN,Begusarai,"Sushil Nagar, NH-31,",851134.0,851134,Begusarai,MFCD,Bihar
161,X217,X217 - SHEETAL AUTO SERVICES,X217,PLX217,,IN,Malegaon,"573, New Agra Road, Opp. Rames",423203.0,423203,Malegaon,MFCD,Maharashtra
162,X218,X218 - PRAGATI MOTORS,X218,PLX218,,IN,Nashik,"Mali Firm, Aurangabad road, Op",422003.0,422003,Nashik,MFCD,Maharashtra
163,X219,X219 - JPG CAR CARE,X219,PLX219,,IN,Satna,"Hotel Pratap Complex, Rewa Roa",485001.0,485001,Satna,MFCD,Madhya Pradesh
164,X224,X224 - ADITYA AUTO,X224,PLX224,,IN,Aligarh,"Khasara No 329, Village Sarsau",202001.0,202001,Aligarh,MFCD,Uttar Pradesh
165,X226,X226 - R.V.MOTORS,X226,PLX226,,IN,Gangavthi,"Survey No- 57/D,",583227.0,583227,Gangavthi,MFCC,Karnataka
166,X227,X227 - SHRI WARDHMAN MOTOWORKS,X227,PLX227,,IN,Jabalpur,"1566, Bedi Nagar, Sharda Chowk",482001.0,482003,Jabalpur,MFCD,Madhya Pradesh
167,X229,X229 - OM MOTORS,X229,PLX229,,IN,Buldhana,"Chikhli Road,",443001.0,443001,Buldhana,MFCD,Maharashtra
168,X231,X231 - AURORA AUTOMOBILES,X231,PLX231,,IN,Patna,"Muncipal Survey Plot No. 2586,",800009.0,800009,Patna,MFCC,Bihar
169,X233,X233 - SINGHAL AUTOMOBILES,X233,PLX233,,IN,Rudrapur,"Khasra No. 506, NH-74, Kiccha",263153.0,263153,Rudrapur,MFCD,Uttarakhand
170,X238,X238 - BASAVDEEP MOTORS,X238,PLX238,,IN,Solapur,"46, Industrial Estate,",413003.0,413003,Solapur,MFCD,Maharashtra
171,X240,X240 - VANDANA MOTORS,X240,PLX240,,IN,Rajgarh,"Infront of Collectrate, Near K",465661.0,465661,Rajgarh,MFCD,Madhya Pradesh
172,X241,X241 - SHRI KRISHNA AUTOMOTIVE,X241,PLX241,,IN,Kashipur,"Khasra No. 87, Kashipur Ramnag",244713.0,244713,Kashipur,MFCD,Uttarakhand
173,X242,X242 - LAXMI AUTOMOBILES,X242,PLX242,,IN,Haldwani,"Himmatpur Bajnath, P/O - Anand",263139.0,263139,Haldwani,MFCD,Uttarakhand
174,X243,X243 - JINDAL AUTOMOBILES,X243,PLX243,,IN,Ramnagar,"Village - Pattapani, Belparao,",263153.0,263140,Ramnagar,MFCD,Uttarakhand
175,X244,X244 - SHYAM MOTORS,X244,PLX244,,IN,Reengus,"NH - 52, Bypass Road,",332404.0,332404,Reengus,MFCD,Rajasthan
176,X245,X245 - ABHI FUEL CENTER,X245,PLX245,,IN,Kolkata,"Sodepur  Muragacha, Barasat Ro",700110.0,700110,Kolkata,MFCD,West Bengal
177,X246,X246 - SHIVA JYOTI MOTORS,X246,PLX246,,IN,Talcher,"NH-53, Bye Pass Road,",759107.0,759107,Talcher,MFCD,Odisha
178,X247,X247 - SATTVIK MOTORS,X247,PLX247,,IN,Paradeep,"Plot No- 235/236, At-Pipala, P",754141.0,754141,Paradeep,MFCD,Odisha
179,X248,X248 -  SHREE GURUNANAK MOTORS,X248,PLX248,,IN,Gondia,"Khata No. 1385/4, Khamari Road",441614.0,441614,Gondia,MFCD,Maharashtra
180,X249,X249 - AMBUJA'S AUTOMOTIVES,X249,PLX249,,IN,Namakkal,"Door No - 814/137d8, 815/137d7",636201.0,636201,Namakkal,MFCD,Tamil Nadu
181,X251,X251 - APEX MOTORS,X251,PLX251,,IN,Sanchore,"Khasra No- 2218, Makhupura Pan",343041.0,343041,Sanchore,MFCD,Rajasthan
182,X252,X252 - DINASARASWATI ENTERPRIE,X252,PLX252,,IN,Mohania,"NH-2, Opposite Uppwan Hotel,",821109.0,821109,Mohania,MFCC,Bihar
183,X253,X253 - GURUPRABHA AUTOWHEELS,X253,PLX253,,IN,Udgir,"Opposite Mukkawar Petrol Pump,",413517.0,413517,Udgir,MFCD,Maharashtra
184,X254,X254 - MOTOCARE,X254,PLX254,,IN,Karur,"No. 2013/1 , Andankovil East v",639002.0,639002,Karur,MFCD,Tamil Nadu
185,X255,X255 - PRAGATI MOTORS,X255,PLX255,,IN,Kuchaman City,"Opp.Hotel Sharda,",302020.0,302020,Kuchaman City,MFCD,Rajasthan
186,X256,X256 - KALRA AUTOMOBILES,X256,PLX256,,IN,Ambala,"45/593, Block No-II, Near Clos",134007.0,134007,Ambala,MFCD,Haryana
187,X259,X259 - ROUNAK MOTORS,X259,PLX259,,IN,Bhubaneswar,"Plot No. 239/A, Sector-A, Zone",751010.0,751010,Bhubaneswar,MFCD,Odisha
188,X260,X260 - YAGNIK MOTORS,X260,PLX260,,IN,Gangapur,"Near Reliance Petrol Pump, Gan",322201.0,322201,Gangapur,MFCD,Rajasthan
189,X261,X261 - SHREE MOTORS,X261,PLX261,,IN,Narnaul,"Sheonathpura,",123001.0,123001,Narnaul,MFCD,Haryana
190,X262,X262 -  BHAGAT & BHAGAT CAR SE,X262,PLX262,,IN,Araria,"Thana No.- 206, Khata No.-2438",854311.0,854311,Araria,MFCD,Bihar
191,X264,X264 - RAJINDERA MOTORS,X264,PLX264,,IN,Patiala,"Adjoining RK Properties, Road",147001.0,147001,Patiala,MFCD,Punjab
192,X265,X265 - SHUBHAM MOTORS,X265,PLX265,,IN,Barmer,Opp. Veerprabhu Marketing,344001.0,344001,Barmer,MFCD,Rajasthan
193,X266,X266 - M.S. MOTORS,X266,PLX266,,IN,Phalodi,"Khasra No. 71/1,Shri Mohan Fil",342301.0,342301,Phalodi,MFCD,Rajasthan
194,X267,X267 - VISHWAKARMA AUTOMOBILE,X267,PLX267,,IN,Nagda,(a unit of vishwakarma threshe,456335.0,456335,Nagda,MFCD,Madhya Pradesh
195,X269,X269 - VENUS MOTORS SERVICES,X269,PLX269,,IN,Kakinara,"Kankinara, Panpur,",743126.0,743126,Kolkata,MFCD,West Bengal
196,X270,X270 - MONDAL MOTORS,X270,PLX270,,IN,Berhampur,"Jalangi Road, Banjetia,",742102.0,742102,Berhampur,MFCD,West Bengal
197,X271,X271 - SHYAMDEB AUTOMOBILES,X271,PLX271,,IN,Midnapore,"J.L No - 163, Khatian No-599,",721102.0,721102,Midnapore,MFCD,West Bengal
198,X276,X276 - MANTRI MOTORS,X276,PLX276,,IN,Indore,"Survey No. 304/1/4,",452012.0,452012,Indore,MFCC,Madhya Pradesh
199,X277,X277 - BRISTI AUTOMOBILES,X277,PLX277,,IN,Jalpaiguri,"Ghasi Para, Paharpur,",735121.0,735121,Jalpaiguri,MFCD,West Bengal
200,X278,X278 - PHULEKAR AUTOMOTIVES,X278,PLX278,,IN,Bidar,"No. 19-4-200/1, NH-218,",585402.0,585402,Bidar,MFCD,Karnataka
201,X279,X279 - J B CAR CARE,X279,PLX279,,IN,Surat,"Plot No. 45.T.P, Opp P.R. Khat",395007.0,395007,Surat,,Gujarat
202,X281,X281 - EVERGREEN CAR CARE,X281,PLX281,,IN,Sujangarh,"H1,41-43 Industrial",331507.0,331507,Sujangarh,MFCD,Rajasthan
203,X283,X283 - SRI HANUMAM AUTOMOTIVES,X283,PLX283,,IN,Nandyal,"SY.No - 446/1, Near Pradhamana",518502.0,518502,Nandyal,MFCD,Andhra Pradesh
204,X285,X285 - SWAMI NARAYAN AUTOMOBIL,X285,PLX285,,IN,Bhinmal,"Khasra No 1882, Junjani Road,",343029.0,343029,Bhinmal,MFCD,Rajasthan
205,X286,X286 - M/S MAHALAKSHMI MOTORS,X286,PLX286,,IN,Gaya,"Gaya Dobhi Road, Near Industri",823004.0,823004,Gaya,MFCD,Bihar
206,X287,X287 - MATRIX AUTOMOBILES,X287,PLX287,,IN,Lucknow,"B-36,  Sector - O,",226024.0,226024,Lucknow,MFCC,Uttar Pradesh
207,X289,X289 - A.S.UNIVERSAL PVT. LTD.,X289,PLX289,,IN,Dhaka,"Raxa Chowk, Ghorasahan Road,",845418.0,845418,Dhaka,MFCD,Bihar
208,X291,X291 - R & R MOTORS,X291,PLX291,,IN,Roorkee,Near Entertainment Hub (RR Cin,247667.0,247667,Roorkee,MFCD,Uttarakhand
209,X297,X297 - WAI AUTO WORLD LLP,X297,PLX297,,IN,Wai,"Plot No B-137/138,",412803.0,412803,Wai,MFCD,Maharashtra
210,X298,X298 - SWAMI AUTO SERVICES,X298,PLX298,,IN,Dhule,"Plot No.3, 17A, 17B, Shantusha",424001.0,424001,Dhule,MFCD,Maharashtra
211,X299,X299 - QUADROS MOTORS PVT LTD,X299,PLX299,,IN,Goa,"Plot No. S-65B, Phase Iib, Ver",403722.0,403722,Goa,MFCC,Goa
212,X300,X300 - M/S ECG SERVICES,X300,PLX300,,IN,Gonikoppa,"No. 68/14 A-5, Gonikoppal Main",571213.0,571213,Gonikoppa,MFCD,Karnataka
213,X301,X301 - OMIKU AUTO,X301,PLX301,,IN,Pune,"Plot No-5, Ghat No- 1343/A2, G",412207.0,412207,Pune,MFCD,Maharashtra
214,X302,X302 -  SAGAR ENTERPRISES,X302,PLX302,,IN,Ranchi,"Khata-383, Plot No-718, Thana",834001.0,834001,Ranchi,MFCC,Jharkhand
215,X306,X306 - SRS MOTO CORP,X306,PLX306,,IN,Varanasi,"SH. 15/182 , Bharli,",221003.0,221003,Varanasi,MFCD,Uttar Pradesh
216,X307,X307 - SURE SERVICE STATION,X307,PLX307,,IN,Pilukhedi,"Plot No-2, MPAKVN Industrial A",465667.0,465667,Pilukhedi,MFCD,Madhya Pradesh
217,X308,X308 - SHRI RAM CAR SERVICES,X308,PLX308,,IN,Dhanbad,"Hirak Road, Near",828109.0,828109,Dhanbad,MFCC,Jharkhand
218,X310,X310 -  RAM KRISHNA MOTOCORP,X310,PLX310,,IN,Bhopal,Plot No-44 Infront of Internat,462038.0,462038,Bhopal,MFCC,Madhya Pradesh
219,X311,X311 - MANGALAM VATIKA AUTOMOB,X311,PLX311,,IN,Jamshedpur,"Main Road Gamharia, Near Usha",832108.0,832108,Jamshedpur,MFCD,Jharkhand
220,X312,X312 - SHRADDHA MOTORS,X312,PLX312,,IN,Barshi,"Gut No-40, Barshi-Kurduwadi Ro",413401.0,413401,Solapur,MFCD,Maharashtra
221,X313,X313 - KLING CARS,X313,PLX313,,IN,Jamshedpur,"Khata No 154, Plot No-299 (a),",831018.0,831018,Jamshedpur,MFCD,Jharkhand
222,X316,X316 - K & S AUTO,X316,PLX316,,IN,Alwar,"200 FT Road, Near",301001.0,301001,Alwar,MFCD,Rajasthan
223,X317,X317 - DAILA MOTORS,X317,PLX317,,IN,Chirawa,"Khasra No. 159, Daila Motors,",333026.0,333026,Chirawa,MFCD,Rajasthan
224,X318,X318 - RAJ MOTORS,X318,PLX318,,IN,Nawalgarh,"Khasra No. 641/56,",333052.0,333052,Nawalgarh,MFCD,Rajasthan
225,X319,X319 - SANJIB AUTOMOBILE,X319,PLX319,,IN,Jorhat,"Plot No - 572, Land-3 Kothas,",785010.0,785010,Jorhat,MFCD,Assam
226,X320,X320 - BARUAH AUTOMOBILE CENTR,X320,PLX320,,IN,Mangaldoi,"NH-52, Block Chowk,",784125.0,784125,Mangaldoi,MFCD,Assam
227,X321,X321 - MAA SUDHA AUTOMOTIVES,X321,PLX321,,IN,Biharshariff,"Khesra No. - 2326, Khata No.33",803114.0,803114,Biharshariff,MFCD,Bihar
228,X322,X322 - SINGH BROTHERS AUTOMOBI,X322,PLX322,,IN,Jharsuguda,"Budhipadar , H-Kantapali,",768203.0,768203,Jharsuguda,MFCD,Odisha
229,X324,X324 -  NANDHA MOTORS,X324,PLX324,,IN,Udumalpet,"Sf. No.  199/2A, Udumalai Pala",642203.0,642203,Udumalpet,MFCD,Tamil Nadu
230,X326,X326 - VAHAN CARE,X326,PLX326,,IN,Puducherry,"No : 148/54, ECR Main Road, Ko",605008.0,605008,Lawspet,MFCD,Puducherry
231,X327,X327 - B H MOTORS PRIVATE LIMI,X327,PLX327,,IN,Vadodara,"Opp. Sai Sarjan Society, B/H N",390012.0,390012,Vadodara,MFCC,Gujarat
232,X328,X328 - PRAMUKH AUTO,X328,PLX328,,IN,Mehsana,"50,51,52, Mehsana Gidc,",384002.0,384002,Mehsana,MFCD,Gujarat
233,X329,X329 - SMILE NEW,X329,PLX329,,IN,Kalol,"Nr. S.T. Workshop, Opp. Aadhar",382721.0,382721,Kalol,MFCD,Gujarat
234,X330,X330 - SK CARS,X330,PLX330,,IN,Thiruverumbur,"60/4A1B, Agaram Village, Singa",620013.0,620019,Trichy,MFCD,Tamil Nadu
235,X331,X331 - NEXSTEP AUTO CARE,X331,PLX331,,IN,Coimbatore,"10, Subaiya Naidu thottam, Sub",641039.0,641039,Coimbatore,MFCD,Tamil Nadu
236,X332,X332 - KAINIKKARA MOTORS,X332,PLX332,,IN,Kotayyam,"NP/XI/216D , Nattakkom,",686013.0,689653,Kotayyam,MFCD,Kerala
237,X333,X333 - VIDVAN MOTORS,X333,PLX333,,IN,Karimnagar,"H.No 8-6-307/1,",505001.0,505001,Karimnagar,MFCD,Telangana
238,X334,X334 - TOP AUTOMOBILES,X334,PLX334,,IN,Chittorgarh,"Ochari Chouraha,",312001.0,312001,Chittorgarh,MFCD,Rajasthan
239,X335,X335 - K.K. BUSINESS GROUP,X335,PLX335,,IN,Faizabad,"94, Ghatampur,",224001.0,224001,Faizabad,MFCD,Uttar Pradesh
240,X339,X339 - OSL AUTOCAR PRIVATE LIM,X339,PLX339,,IN,Sambalpur,"Plot no. - 135,",768006.0,768006,Sambalpur,MFCD,Odisha
241,X341,X341 - KUMAWAT DIESEL SERVICE,X341,PLX341,,IN,Kotputli,"Mohalla - Bada Bas,Bansur Road",303108.0,303108,Kotputli,MFCD,Rajasthan
242,X342,X342 - PADMAVATI CAR CARE,X342,PLX342,,IN,Dungarpur,"Near Private Bus Stand,",314001.0,314001,Dungarpur,MFCD,Rajasthan
243,X343,X343 - SINGHAL MOTORS,X343,PLX343,,IN,Jaipur,"G-198A, RIICO Indutrial Area,",302020.0,302020,Jaipur,MFCC,Rajasthan
244,X344,X344 - CL MOTORS,X344,PLX344,,IN,Shri Dungargarh,"Near Sikahwal Upvan Hotel, Jai",331803.0,331803,Sridungargarh,MFCD,Rajasthan
245,X347,X347 - HONEST MOTORS,X347,PLX347,,IN,Vyara,"Survey No 61 paiki 5, Opp. H.P",394650.0,394650,Vyara,MFCD,Gujarat
246,X349,X349 - ADITRI SERVICE,X349,PLX349,,IN,Silchar,"Chirukandi Road, Ramnagar,",788003.0,788003,Silchar,MFCD,Assam
247,X350,X350 - B.H.MOTORS PRIVATE LIMI,X350,PLX350,,IN,Vadodara,"Plot No. 107, Chhani Road,",390002.0,390002,Vadodara,MFCC,Gujarat
248,X351,X351 -  MEDHA ENTERPRISES,X351,PLX351,,IN,Deoghar,"Plot No. 586,578, Moja. 409, K",814143.0,814143,Deoghar,MFCD,Jharkhand
249,X353,X353 - RAHUL MOTORS,X353,PLX353,,IN,Siddipet,"SY No 973, Rangadam Pally Vill",502103.0,502103,Siddipet Mandal,MFCD,Telangana
250,X357,X357 - RAJ AUTOMOBILES,X357,PLX357,,IN,Mughalsarai,"Mughalsarai-Chakiya Road,",232101.0,232101,Mughalsarai,MFCD,Uttar Pradesh
251,X359,X359 - STAR AUTOMOBILES,X359,PLX359,,IN,Serampur,Holding / Premises No. 368/A/4,712223.0,712223,Srirampur,MFCD,West Bengal
