,Plant,Name 1,Valuation Area,Customer no. - plant,Vendor number plant,Factory calendar,Name 2,House number and street,PO Box,Postal Code,City,Sales organization,State
403,X637,X637 - JD MOTORS,X637,PLX637,,IN,Kurukshetra,"Khasra No. 138, Sunderpur Chow",136118.0,136118,Kurukshetra,MFCD,Haryana
404,X639,X639 - AP AUTO DOCS,X639,PLX639,,IN,Hubbali,"Plot No 5807/19, Besides New B",580030.0,580030,Hubbali,MFCC,Karnataka
405,X640,X640 - SARU AUTOMOBILES ,X640,PLX640,,IN,Patiala,"A-5, Focal",147001.0,147001,Patiala,MFCD,Punjab
406,X644,X644 - BATRA MOTORS,X644,PLX644,,IN,Gadarpur,"Khata No.00024, Khasra No,",263152.0,263152,Gadarpur,MFCD,Uttarakhand
407,X650,X650 - AM MOTORS,X650,PLX650,,IN,Tinsukia,"Plot  32, Khukanphukuri,",786146.0,786146,Tinsukia,MFCD,Assam
408,X655,X655 - JOSNIKA DEVELOPERS PVT.,X655,PLX655,,IN,Durgapur,"Khatian No.4009, Daag No 1158,",713363.0,713363,Durgapur,MFCD,West Bengal
409,X661,X661 - RUDRA MOTORS,X661,PLX661,,IN,Sirsa,"7km Mile Stone,",125055.0,125055,Sirsa,MFCD,Haryana
410,X672,X672 - SRI SANTHI VIJAY MOTORS,X672,PLX672,,IN,Mayiladuthurai,"36/44 Tarangambadi Main Road,",609001.0,609001,Mayiladuthurai,MFCD,Tamil Nadu
411,X676,X676 - YASH MOTORS,X676,PLX676,,IN,Narwana,"Patiala Road, Near Railway Fat",453115.0,453115,Narwana,MFCD,Haryana
412,X677,X677 - NEW PREM AUTOMOBILE,X677,PLX677,,IN,Bhagpat,"Plot No. 525,",250609.0,250609,Bhagpat,MFCD,Uttar Pradesh
413,X688,X688 - GIRRAJJI MOTORS,X688,PLX688,,IN,Agra,"Plot No.10K, Mauja Rohta, Gwal",,999999,Agra,MFCD,Uttar Pradesh
414,X689,X689 - POONAM MOTORS,X689,PLX689,,IN,Delhi,"Opp. Rama Krishna Apartment, N",999999.0,999999,Delhi,MFCA,Delhi
415,X691,X691 - SAMMANTHAM MOTORS,X691,PLX691,,IN,Kanchipuram,"No: 610/610A,  Kanchi Co-Opera",631501.0,631501,Kanchipuram,MFCD,Tamil Nadu
416,X693,X693 - SWASTIK MOTORS,X693,PLX693,,IN,Kolkata,"Mouza Karimpur,J.L. 2, P.S. So",700150.0,700150,Kolkata,MFCD,West Bengal
417,X701,X701 - JOSNIKA INFRA PVT. LTD.,X701,PLX701,,IN,Titagarh,"2 No., BT Road, Beside CESC Ti",700119.0,700119,Titagarh,MFCD,West Bengal
418,X704,X704 - ROLLING RIGHT SERVICES,X704,PLX704,,IN,Mangalore,"Plot No. 2-60/C, Nh-66, Kallap",575017.0,575017,Mangalore,MFCC,Karnataka
419,X705,X705 - M/S SLV CAR CARE,X705,PLX705,,IN,Tumkur,"No. 30, 2nd Main Road, Sapthag",572102.0,572102,Tumkur,MFCD,Karnataka
420,X706,X706 - ADITYA & BROTHERS,X706,PLX706,,IN,Manendragarh,"Plot No. 343/10, In Front Of K",999999.0,999999,Manendragarh,MFCD,Chhattisgarh
421,X707,X707 - EKAM MOTORS,X707,PLX707,,IN,Kekri,"F-54, Riico Industrial Area,",305404.0,305404,Kekri,MFCD,Rajasthan
422,X709,X709 - RANASHRI MOTORS PVT. LT,X709,PLX709,,IN,Charkhi Dadri,"Khata No.1201, Khatoni No.1283",127306.0,127306,Charkhi Dadri,MFCD,Haryana
423,X712,X712 - M/S. JAPAT CAR CARE PVT,X712,PLX712,,IN,Batala,"14/615 16, 25, 17/5, 6/1, Khew",143505.0,143505,Batala,MFCD,Punjab
424,X714,X714 - M/S SRI GURURAGHAVENDRA,X714,PLX714,,IN,Kanakapura Road,"42/7, R K Industries, 80Ft. Ro",560061.0,560061,Kanakapura Road,MFCD,Karnataka
425,X720,X720 - S.G. INFRACARE (P) LTD.,X720,PLX720,,IN,Sarojini Nagar,"Plot No. 1016, Sarojini Nagar,",226001.0,226001,Lucknow,MFCD,Uttar Pradesh
426,X728,X728 - M/S S & P AUTOMOTIVE SE,X728,PLX728,,IN,Jhabua,"Halka No: 18, Village Mindal,",457661.0,457661,Jhabua,MFCD,Madhya Pradesh
427,X729,X729 - PERFORMANCE AUTOMOTIVES,X729,PLX729,,IN,Solinganallur,"No.384,  Village High Road,",600119.0,600119,Solinganallur,MFCD,Tamil Nadu
428,X748,X748 - MURALI AUTOMOBILES PVT,X748,PLX748,,IN,Mulund,"Shade No.13, Anjani Kumar Indu",400079.0,400079,Mulund,MFCA,Maharashtra
429,X749,X749 - MURALI AUTOMOBILES PVT,X749,PLX749,,IN,Thane,"Anand Cinema Compound,",400079.0,400079,Thane,MFCA,Maharashtra
430,X756,X756 - ZENITH AUTOMOTIVE SERVI,X756,PLX756,,IN,Meerut,,0.0,999999,Meerut,MFCD,Uttar Pradesh
431,X758,X758 - VELOCITY AUTOMOTIVES PV,X758,PLX758,,IN,AMBALA,"#Nh-1 G T Road, Near Jandli Br",0.0,134003,Ambala,MFCD,Haryana
432,X770,X770 - GURUDEV MOTORS PVT. LTD,X770,PLX770,,IN,Madurai,"581/84-83 Dindigl Highway,",625018.0,625018,Madurai,MFCD,Tamil Nadu
433,X780,X780 - SOKHI BROTHERS MOTOR DI,X780,PLX780,,IN,Bhopal,"Jk Main Road,",462023.0,462023,Bhopal,MFCD,Madhya Pradesh
434,X781,X781 - XPRESS SERVICE,X781,PLX781,,IN,Coimbatore,"149 Dhayal Street, Thiru Nagar",641030.0,641030,Coimbatore,MFCD,Tamil Nadu
435,X789,X789 - ARYAN MOTORS ,X789,PLX789,,IN,Barielly,"33,35, Rajiv Enclave Extension",243001.0,243001,Barielly,MFCD,Uttar Pradesh
436,X795,X795 - RS MOTORS,X795,PLX795,,IN,Guindy,"49&51/2, Thiru Vi Ka Industria",600032.0,600032,Chennai,MFCA,Tamil Nadu
437,X796,X796 - SINHA CARS PVT LTD,X796,PLX796,,IN,Khoparkairane,"A/70, T.T.C. Industrial Estate",400710.0,400710,Khoparkairane,MFCC,Maharashtra
